mode,accuracy,macro_f1,balanced_accuracy,weighted_f1,manual_review_rate,accuracy_minus_majority,macro_f1_minus_majority
majority_spoof,0.8181996662412879,0.3000035993233272,0.3333333333333333,0.7363885345125941,0.0,0.0,0.0
sv_only,0.12882227348581526,0.171921022405734,0.47239470842332615,0.04688294888025219,0.0,-0.6893773927554727,-0.1280825769175932
spoof_only,0.7664179837047217,0.3628606177699285,0.38497282454956094,0.735838530163685,0.0,-0.05178168253656623,0.0628570184466013
fusion_default,0.7748110336703642,0.42913423306405113,0.41575036234653723,0.7539113782334869,0.0,-0.043388632570923735,0.12913063374072392
fusion_tuned,0.6913836261902425,0.4417725069220347,0.46165696666282297,0.7151745235721835,0.0,-0.1268160400510454,0.14176890759870747
