path,count,fraction_of_trials,true_spoof_fraction
spoof_gate,120258,0.7378153529007558,0.8622295398227146
sv_accept_after_spoof_reject,26912,0.16511239815451065,0.7495541022592153
sv_reject_after_spoof_reject,15822,0.09707224894473349,0.6003033750474024
