threshold_set,sv_threshold,spoof_threshold,accuracy,macro_f1,balanced_accuracy,weighted_f1,manual_review_rate
default,0.55,0.5,0.7748110336703642,0.42913423306405113,0.41575036234653723,0.7539113782334869,0.0
tuned,0.6199999999999999,0.69,0.6913836261902425,0.4417725069220347,0.46165696666282297,0.7151745235721835,0.0
