label,precision,recall,f1,support,predicted_count
wrong_speaker,0.27784098091265325,0.2967062634989201,0.28696390103792674,14816,15822
spoof,0.8622295398227146,0.7775194961007799,0.8176864418140668,133360,120258
target_bona_fide,0.17107609988109393,0.3107451403887689,0.22066717791411042,14816,26912
